poinew_1,poinew_2,poinew_3
-1.029448,0.1430306,-0.2784893
-38.98655,5.423696,0.6870663
-10.51907,1.465255,-2.451967
-12.93826,1.80454,-2.539286
-17.44668,2.439548,-2.790165
-26.24633,3.67934,-3.254156
-29.57205,4.15081,-2.612581
-40.22,5.65971,-2.128608
-39.2909,5.542955,-0.6926162
-1.032767,0.1471683,-0.2795246
-44.90236,6.406539,0.791711
-10.50425,1.500587,-2.449717
-12.9416,1.851083,-2.541194
-17.4185,2.49763,-2.787037
-26.23726,3.771493,-3.254643
-29.8236,4.292336,-2.636113
-39.63068,5.717921,-2.098463
-38.9309,5.630838,-0.6866126
-1.03607,0.1513309,-0.2805599
-45.10529,6.596227,0.7956901
-10.49123,1.536118,-2.447917
-12.92729,1.895104,-2.539668
-17.38036,2.554113,-2.782344
-26.18465,3.85727,-3.249768
-51.35417,7.57417,-4.541511
-39.66975,5.864987,-2.101603
-38.9308,5.769622,-0.6869617
-1.031714,0.1543748,-0.2795246
-38.4965,5.767066,0.6794571
-10.48581,1.572727,-2.447917
-12.89924,1.937011,-2.53547
-17.36743,2.614175,-2.781718
-26.19066,3.951617,-3.252206
-42.00519,6.345183,-3.716669
-41.09456,6.222308,-2.178223
-38.82738,5.892879,-0.6854957
-1.02735,0.1573899,-0.2784893
-60.38456,9.261706,1.066342
-10.48218,1.609616,-2.448367
-12.88464,1.980833,-2.533944
-17.33868,2.671774,-2.778589
-26.20809,4.047858,-3.256105
-29.86366,4.617798,-2.643782
-38.73149,6.016722,-0.6841693
-1.030612,0.1615735,-0.2795246
-59.47868,9.335385,1.050914
-10.4688,1.644986,-2.446568
-12.87182,2.024881,-2.532799
-17.31754,2.730436,-2.776712
-26.18988,4.138698,-3.255618
-29.82965,4.719213,-2.642214
-39.89811,6.326375,-2.117094
-38.12568,6.058974,-0.6738374
-1.026226,0.1645586,-0.2784893
-59.44178,9.542315,1.050844
-10.44568,1.678734,-2.442519
-12.86274,2.069489,-2.532417
-17.29425,2.788664,-2.774522
-26.02242,4.20539,-3.236606
-29.96837,4.848447,-2.655984
-40.48301,6.564065,-2.149333
-38.66595,6.276366,-0.6837504
-1.037084,0.170015,-0.2815951
-59.6624,9.780789,1.055312
-10.44005,1.713364,-2.442519
-12.83994,2.111826,-2.529364
-17.26152,2.842148,-2.770767
-25.96525,4.284552,-3.231244
-30.06724,4.972207,-2.666268
-40.37038,6.683272,-2.144518
-38.87264,6.449265,-0.6877994
-1.028893,0.1721777,-0.2795246
-43.8068,7.338599,0.7753057
-10.43401,1.749797,-2.442519
-12.81738,2.151794,-2.526311
-17.195,2.892885,-2.761694
-25.92273,4.370536,-3.227832
-40.66977,6.878767,-2.161685
-1.018765,0.1741405,-0.2769364
-39.27627,6.713612,0.6955133
-10.42815,1.784388,-2.442519
-12.80979,2.196519,-2.526311
-17.16195,2.945876,-2.75794
-25.90026,4.455129,-3.226857
-31.2461,5.385908,-2.773993
-31.34514,5.408606,-1.667005
-1.021988,0.1781816,-0.2779717
-44.25225,7.72325,0.7841017
-10.41994,1.820443,-2.442069
-12.8063,2.239663,-2.527074
-17.12432,3.000995,-2.75356
-25.86501,4.542078,-3.224419
-40.09092,7.06189,-2.133423
-39.39101,6.952779,-0.6982009
-1.034641,0.1842976,-0.2815951
-44.52821,7.931679,0.7894771
-10.3905,1.8527,-2.43667
-12.78255,2.283823,-2.524022
-17.09765,3.06095,-2.751057
-25.81773,4.626734,-3.22052
-50.30811,9.033723,-4.471787
-39.44128,7.103707,-0.6995273
-1.033992,0.1879081,-0.2815951
-46.1672,8.398324,0.8190764
-10.38555,1.891119,-2.43712
-12.77643,2.328781,-2.524403
-17.08686,3.120614,-2.751057
-25.77326,4.716328,-3.217107
-50.27628,9.209277,-4.471787
-42.93496,7.880033,-2.287709
-38.81316,7.137549,-0.6888465
-1.033329,0.1915163,-0.2815951
-43.22771,8.019586,0.7674173
-10.35973,1.9238,-2.432621
-12.76822,2.373365,-2.524403
-17.07004,3.179155,-2.750118
-25.71761,4.798983,-3.212233
-47.56457,8.884279,-4.233329
-38.78016,7.271516,-0.6887069
-1.021265,0.1929701,-0.2784893
-43.58063,8.242514,0.7741888
-10.35869,1.961041,-2.43397
-12.75214,2.416458,-2.522877
-17.06078,3.23909,-2.750431
-25.6734,4.883526,-3.20882
-47.65461,9.073362,-4.244136
-38.93524,7.441377,-0.6919181
-1.020585,0.1965336,-0.2784893
-43.44949,8.374908,0.7723737
-10.34222,1.995342,-2.431721
-12.73014,2.458348,-2.520205
-17.04549,3.297873,-2.749805
-25.6445,4.970853,-3.207358
-49.81328,9.664675,-4.439365
-47.80639,9.292618,-2.55232
-39.05035,7.604754,-0.6944312
-1.01231,0.1986072,-0.2764187
-44.60517,8.759274,0.7934562
-10.31798,2.028046,-2.427672
-12.72533,2.503528,-2.520969
-17.04163,3.358877,-2.751057
-25.56857,5.048803,-3.200046
-49.77924,9.838487,-4.439365
-47.59733,9.424523,-2.5429
-39.16479,7.769044,-0.6969444
