poinew_1,poinew_2,poinew_3
0.2283204,-1.548053,-0.4192869
0.3392259,-2.302794,0.0406292
0.2442387,-1.659994,-0.3873657
0.4210599,-2.865253,0.1517743
0.2437676,-1.658804,-0.3259018
0.4227171,-2.880024,0.2546691
0.2472691,-1.686722,-0.2700059
0.4210301,-2.875515,0.3568335
0.2616812,-1.789386,-0.222046
0.4188272,-2.867452,0.4589788
0.2545548,-1.74278,-0.1540914
0.4242618,-2.908208,0.5712821
0.2738613,-1.879547,-0.099543
0.4212399,-2.894568,0.675303
0.2752643,-1.893808,-0.03340391
0.4204736,-2.896394,0.7842218
0.230346,-1.600469,-0.4332631
0.330901,-2.301985,0.0405943
0.236227,-1.645405,-0.3837665
0.411623,-2.870659,0.1519836
0.2379759,-1.659644,-0.3259018
0.410967,-2.869648,0.2536232
0.2413796,-1.687575,-0.2700059
0.4121133,-2.884828,0.3578084
0.2489845,-1.745089,-0.21644
0.4082579,-2.864985,0.458353
0.2487509,-1.745631,-0.1542657
0.4135544,-2.905784,0.570519
0.2760119,-1.94179,-0.1027878
0.4114076,-2.897951,0.675753
0.2680905,-1.890798,-0.0333341
0.4079228,-2.880629,0.779563
0.2228784,-1.587871,-0.4296396
0.3286933,-2.344712,0.0413273
0.2277801,-1.62692,-0.3792675
0.4027063,-2.879991,0.1524023
0.2332687,-1.668242,-0.3274283
0.4003963,-2.867119,0.2532746
0.2376705,-1.704059,-0.2725089
0.4014927,-2.882317,0.3573209
0.2480884,-1.783305,-0.221071
0.400158,-2.880089,0.4605431
0.2500592,-1.799771,-0.1589721
0.402869,-2.903321,0.5697557
0.2697804,-1.946698,-0.1029972
0.4012896,-2.899369,0.675753
0.2623101,-1.897665,-0.03343881
0.397865,-2.882035,0.779563
0.2178578,-1.592468,-0.4306749
0.3094081,-2.264613,0.0398962
0.2197287,-1.610328,-0.3752184
0.391572,-2.873463,0.1519836
0.2287694,-1.678773,-0.3293363
0.390923,-2.872447,0.2536232
0.2232076,-1.642242,-0.2624971
0.3906284,-2.8778,0.3565897
0.2453288,-1.809732,-0.2242396
0.3893067,-2.875596,0.4596045
0.2440423,-1.802607,-0.1591464
0.3895758,-2.881363,0.5651762
0.2466808,-1.826891,-0.09661219
0.3919474,-2.906546,0.6771027
0.2580864,-1.916405,-0.03375296
0.3883176,-2.887236,0.7805982
0.2143392,-1.608538,-0.434816
0.2761784,-2.075386,0.03654534
0.2125657,-1.599494,-0.372519
0.3791747,-2.856993,0.1510416
0.219292,-1.652315,-0.3239937
0.3808939,-2.873795,0.2536232
0.2174735,-1.643011,-0.2624971
0.3803204,-2.877177,0.356346
0.2413482,-1.82829,-0.2264332
0.3787505,-2.87302,0.4589788
0.2309782,-1.75209,-0.1546143
0.3805405,-2.890491,0.5667027
0.2379591,-1.809919,-0.09567013
0.3802773,-2.896304,0.6744033
0.2568547,-1.958932,-0.03448595
0.3784873,-2.89049,0.7811159
0.2107108,-1.624603,-0.4389571
0.2830595,-2.185409,0.0384651
0.209731,-1.621485,-0.3774679
0.3697109,-2.862261,0.1512509
0.2117623,-1.639441,-0.3213224
0.37086,-2.875107,0.2536232
0.2152703,-1.671189,-0.2668772
0.3710345,-2.884394,0.3570772
0.2251008,-1.752333,-0.2169275
0.3684684,-2.872365,0.4586659
0.2502118,-1.950505,-0.1720454
0.3709473,-2.895696,0.567466
0.2298658,-1.796871,-0.09493744
0.3699176,-2.89568,0.6739534
0.2484971,-1.947914,-0.03427653
0.3683956,-2.891793,0.7811159
0.1980266,-1.569745,-0.4239456
0.2591834,-2.057423,0.03619629
0.2120961,-1.686013,-0.3923146
0.2099537,-1.671337,-0.3274283
0.36231,-2.888245,0.2546691
