poinew_1,poinew_2,poinew_3
5.508722,2.436533,-1.613996
13.08055,5.782851,0.2496392
6.219035,2.748109,-1.569708
13.07211,5.773671,0.7489276
7.129656,3.149018,-1.515024
13.0376,5.755702,1.24685
8.311548,3.667562,-1.438884
13.03362,5.748518,1.749069
10.01392,4.414577,-1.343732
12.93929,5.701513,2.239516
12.60221,5.552985,-1.204841
13.0082,5.729174,2.762914
13.17969,5.80195,-0.7546846
12.9818,5.71213,3.274388
13.15569,5.785912,-0.2508609
12.94908,5.692341,3.790146
5.515425,2.416512,-1.613478
13.13912,5.753998,0.2503722
6.216093,2.720915,-1.566559
13.12146,5.740811,0.7506024
7.144203,3.125683,-1.515787
13.09412,5.72612,1.250336
8.324298,3.638529,-1.438884
13.07544,5.712521,1.751994
10.02563,4.378004,-1.343244
12.9917,5.670538,2.245148
12.62334,5.50976,-1.205015
13.05691,5.69629,2.76902
13.21817,5.763889,-0.7557313
13.0356,5.681577,3.282936
13.21614,5.757521,-0.2516288
12.99722,5.659442,3.798429
5.532687,2.401092,-1.616066
13.19031,5.721636,0.2509656
6.227341,2.699974,-1.567009
13.17074,5.707677,0.7522771
7.155071,3.100724,-1.515787
13.16156,5.700977,1.254868
8.342387,3.611802,-1.439823
13.13538,5.684186,1.757356
10.0372,4.341413,-1.342757
13.04949,5.641613,2.251718
12.66723,5.473727,-1.207281
13.10375,5.662356,2.774745
13.28955,5.739896,-0.7586621
13.07861,5.646077,3.288785
13.25819,5.720857,-0.2520477
13.04705,5.627048,3.807228
5.541451,2.380796,-1.616066
13.24328,5.689763,0.2515939
6.234937,2.677453,-1.566559
13.22729,5.677426,0.7543705
7.155561,3.069836,-1.513497
13.21166,5.665259,1.257657
8.357384,3.581981,-1.440136
13.18798,5.652379,1.761743
10.05412,4.307128,-1.343
13.09453,5.606909,2.256098
12.68992,5.431048,-1.20763
13.16052,5.629736,2.782377
13.33988,5.703702,-0.7603369
13.12968,5.611125,3.296433
13.30382,5.685546,-0.2525363
13.09859,5.595133,3.816546
5.546172,2.359927,-1.615031
13.29716,5.655276,0.2522222
6.246503,2.655343,-1.567009
13.28011,5.64528,0.7562547
7.173461,3.047912,-1.515024
13.25703,5.630013,1.260098
8.382565,3.558187,-1.442326
13.24698,5.620289,1.766862
10.06436,4.267922,-1.342269
13.15039,5.576593,2.262356
12.70513,5.38516,-1.207281
13.2072,5.595253,2.788101
13.39465,5.671903,-0.7623256
13.17431,5.57589,3.302732
13.36042,5.654657,-0.2532344
13.12516,5.552384,3.818616
5.554376,2.340551,-1.615031
13.3527,5.626677,0.2529203
6.257069,2.635372,-1.567459
13.33655,5.614391,0.7583481
7.184057,3.022852,-1.515024
13.30599,5.596058,1.262887
